date,Excess_Market_Return,smb,HML,RMW,CMA,Please cite the following paper if you use the data:
30-Apr-11,-0.009602686,-0.005039984,-0.013507995,0.027527812,0.003249846,
31-May-11,-0.022118447,-0.047506715,0.012414051,-0.008819777,0.025355624,
30-Jun-11,-0.030464499,-0.057085111,0.006792075,0.0462351,0.008264752,
31-Jul-11,-0.034195002,0.057814582,-0.024634504,-0.042022878,0.029480734,
31-Aug-11,-0.030072497,-0.038516419,-0.022193499,0.02584556,-0.011285976,
30-Sep-11,-0.061183142,0.006207722,0.06589851,0.008342241,-0.033480164,
31-Oct-11,0.061413673,-0.029073063,0.001543106,0.020345959,0.021300082,
30-Nov-11,-0.037909445,0.021858361,0.012390899,-0.00553834,-0.06198975,
31-Dec-11,-0.014379054,-0.038520554,0.052597986,0.012625358,-0.008653678,
31-Jan-12,0.046228808,0.000786393,-0.028429616,-0.002615977,-0.052315954,
29-Feb-12,0.022271612,0.047203276,-0.045478643,-0.006676794,-0.012238237,
31-Mar-12,0.011077659,0.01089128,0.004731793,0.020881242,0.019721125,
30-Apr-12,0.004280597,-0.038695501,0.038694715,0.034977987,0.001746073,
31-May-12,-0.068219279,-0.032693008,0.036354038,0.032940599,0.051176216,
30-Jun-12,-0.02701812,-0.037061463,0.064963613,-0.033028843,0.005770243,
31-Jul-12,0.054867821,-0.0525236,0.024115436,0.075634075,0.039978835,
31-Aug-12,0.019580698,-0.000744422,0.034121573,0.038594101,0.000683231,
30-Sep-12,0.02141091,-0.032619587,-0.01251917,0.000306485,-0.050185252,
31-Oct-12,0.024278152,-0.04361708,0.048919149,-0.016847921,-0.010864302,
30-Nov-12,-0.000105284,-0.037004335,0.029552563,0.025382317,0.032320867,
31-Dec-12,0.029735788,-0.038938872,0.03004751,0.031508396,-0.034097154,
31-Jan-13,0.049149145,0.006294788,0.01499292,0.021276621,-0.004974467,
28-Feb-13,0.043894595,-0.054130444,0.024402051,0.034846481,0.020215782,
31-Mar-13,-0.022171743,0.00366959,-0.0237143,0.008483411,0.034031898,
30-Apr-13,0.033577803,-0.091791259,0.031819438,0.042278779,0.066814103,
31-May-13,-0.032618908,-0.036227192,0.034615171,0.017460765,0.02803844,
30-Jun-13,-0.025583826,-0.033497026,-0.000915411,0.031256201,0.042714286,
31-Jul-13,0.054929029,0.059083254,-0.043079534,-0.009556167,-0.027542864,
31-Aug-13,0.021112276,0.010483572,0.007026124,0.033107861,-0.019619854,
30-Sep-13,0.021729042,-0.038060164,0.008640539,-0.022619268,0.03916826,
31-Oct-13,0.034626096,0.005272217,0.006095249,-0.004775368,0.026269832,
30-Nov-13,-0.008571129,-0.035423895,0.015558624,-0.014535402,0.06926268,
31-Dec-13,0.009599513,-0.021739614,0.026133912,0.037320141,-0.029913303,
